name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
			InvestmentsInOtherVenturesUnderEquityMethod,"17,375,000,000","17,303,000,000","17,505,000,000","17,325,000,000","17,635,000,000","15,345,000,000","23,424,000,000","11,660,000,000","12,111,000,000",,,,,,,"0","4,125,000,000",,"3,899,000,000","3,651,000,000","1,826,000,000",,,,,,,,,,,
		OtherShortTermInvestments,"58,535,000,000","90,300,000,000","63,822,000,000","81,506,000,000","84,371,000,000","23,432,000,000","25,988,000,000","27,397,000,000","28,785,000,000","31,449,000,000",,"33,803,000,000",,,,,"30,855,000,000",,,"54,949,000,000","57,570,000,000",,,,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"58,535,000,000","90,300,000,000","63,822,000,000","81,506,000,000","84,371,000,000","23,432,000,000","25,988,000,000","27,397,000,000","28,785,000,000","31,449,000,000",,"33,803,000,000",,,,,"30,855,000,000",,,"54,949,000,000","57,570,000,000",,,,,,,,,,,
		OtherInvestedAssets,,,,,,"17,256,000,000","21,717,000,000","22,324,000,000","17,951,000,000","21,009,000,000","16,921,000,000","16,105,000,000","32,600,000,000","21,535,000,000",,"905,000,000","1,003,000,000",,"2,924,000,000","4,044,000,000","1,974,000,000",,,,,,,,,,,
	CashAndCashEquivalents,"88,184,000,000","47,990,000,000","64,175,000,000","30,361,000,000","31,583,000,000","86,370,000,000","71,730,000,000","63,269,000,000","48,186,000,000","46,992,000,000","37,299,000,000","38,227,000,000","30,558,000,000","25,539,000,000","44,329,000,000","43,743,000,000","44,660,000,000","43,427,000,000","35,957,000,000","12,748,000,000","6,498,000,000","5,263,000,000","3,835,000,000","13,582,000,000","1,002,400,000","1,339,800,000","2,744,500,000","289,900,000","1,838,100,000","1,192,400,000","762,000,000","247,000,000"
	RestrictedCashAndCashEquivalents,,,,,,,,,,,,,,,,,"487,000,000",,,,,,,,,,,,,,,
	Receivables,"39,565,000,000","35,852,000,000","35,835,000,000","35,230,000,000","28,578,000,000","27,097,000,000","23,303,000,000","21,852,000,000","20,497,000,000","21,753,000,000","19,012,000,000","20,917,000,000","14,792,000,000","14,925,000,000","13,157,000,000","12,881,000,000","12,397,000,000","11,291,000,000","12,314,000,000","13,175,000,000","11,926,000,000","11,764,000,000","8,558,000,000","7,224,000,000","1,711,500,000","1,523,200,000","718,900,000","580,600,000","525,300,000","690,600,000","904,500,000","705,600,000"
		AccountsReceivable,"4,177,000,000","3,542,000,000","31,629,000,000","31,562,000,000","28,940,000,000","27,430,000,000","23,671,000,000","22,163,000,000","20,857,000,000","22,139,000,000",,"21,300,000,000",,,,,"12,736,000,000",,"12,755,000,000","13,175,000,000","11,926,000,000",,,,,,,,,,"904,500,000",
		OtherReceivables,"35,388,000,000","32,310,000,000","4,715,000,000","4,185,000,000",,,,,,,,,,,,,,,,,"11,926,000,000",,,,,,,,,,,
		ReceivablesAdjustmentsAllowances,,,"-509,000,000","-517,000,000","-362,000,000","-333,000,000","-368,000,000","-311,000,000","-360,000,000","-386,000,000",,"-383,000,000",,,,,"-339,000,000",,"-441,000,000",,,,,,,,,,,,,
	DeferredAssets,"10,639,000,000","12,441,000,000","13,747,000,000","14,104,000,000","15,278,000,000","8,047,000,000","7,687,000,000",,,,,,,"3,923,000,000","3,987,000,000","1,964,000,000","2,388,000,000",,"3,087,000,000","3,379,000,000",,,,,,,,,,,,
